code,icc,scale,description,geo
99204,0.04246797287657879,38.63926010485283,"New patient office or other outpatient visit, typically 45 minutes",nppes_provider_zip
99231,0.045852845242205814,214.73626084344184,"Subsequent hospital inpatient care, typically 15 minutes per day",nppes_provider_zip
99214,0.046248148960661,163.98324194684037,"Established patient office or other outpatient, visit typically 25 minutes",nppes_provider_zip
76942,0.04844854839721096,44.8385591798957,Ultrasonic guidance imaging supervision and interpretation for insertion of needle,nppes_provider_zip
99213,0.04875503346383624,172.89280599826836,"Established patient office or other outpatient visit, typically 15 minutes",nppes_provider_zip
99215,0.050585744509833344,147.53875875501836,"Established patient office or other outpatient, visit typically 40 minutes",nppes_provider_zip
99291,0.051952487778472056,76.48186949348135,"Critical care delivery critically ill or injured patient, first 30-74 minutes",nppes_provider_zip
99205,0.05307917891097006,26.53424922114363,"New patient office or other outpatient visit, typically 60 minutes",nppes_provider_zip
99221,0.05312727093435146,35.84842738825189,"Initial hospital inpatient care, typically 30 minutes per day",nppes_provider_zip
99203,0.054175014114124696,42.84910304048996,"New patient office or other outpatient visit, typically 30 minutes",nppes_provider_zip
99222,0.05566591731924752,55.21277380668,"Initial hospital inpatient care, typically 50 minutes per day",nppes_provider_zip
99232,0.057515763717042305,289.88981419868594,"Subsequent hospital inpatient care, typically 25 minutes per day",nppes_provider_zip
00740,0.05791291443003901,15.448648448835426,Anesthesia for procedure on gastrointestinal tract using an endoscope,nppes_provider_zip
99212,0.05824027872637279,158.76948812451388,"Established patient office or other outpatient visit, typically 10 minutes",nppes_provider_zip
99238,0.058915688480112915,41.98611946875308,"Hospital discharge day management, 30 minutes or less",nppes_provider_zip
99233,0.06564157279686265,221.95741723324247,"Subsequent hospital inpatient care, typically 35 minutes per day",nppes_provider_zip
00810,0.07406122416312089,30.493083635326215,Anesthesia for procedure on lower intestine using an endoscope,nppes_provider_zip
92083,0.07728980088328387,69.7273754478206,Measurement of field of vision during daylight conditions,nppes_provider_zip
99223,0.07851286063628429,66.63130563327205,"Initial hospital inpatient care, typically 70 minutes per day",nppes_provider_zip
20610,0.08531797046949065,116.51051857309622,Aspiration and/or injection of large joint or joint capsule,nppes_provider_zip
93880,0.08611675830046826,99.16942582944239,Ultrasound scanning of blood flow (outside the brain) on both sides of head and neck,nppes_provider_zip
99285,0.09211775692549633,41.73861541819982,"Emergency department visit, problem with significant threat to life or function",nppes_provider_zip
G0008,0.09682921514593198,42.968603168351244,Administration of influenza virus vaccine,nppes_provider_zip
93010,0.09878377671005467,320.1868628932267,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,nppes_provider_zip
73502,0.10126246864850307,52.68481036027345,"X-ray of hip with pelvis, 2-3 views",nppes_provider_zip
99220,0.10226647962046892,31.193200926024726,Hospital observation care typically 70 minutes per day,nppes_provider_zip
G0180,0.10918427328870021,75.22033882146143,"Physician certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial implem",nppes_provider_zip
99202,0.11099200527694018,39.12983762275331,"New patient office or other outpatient visit, typically 20 minutes",nppes_provider_zip
99283,0.1136368362113549,26.625685472385186,"Emergency department visit, moderately severe problem",nppes_provider_zip
73630,0.11462343558427694,75.59942670949486,"X-ray of foot, minimum of 3 views",nppes_provider_zip
73030,0.11577126201323674,56.957153092421635,"X-ray of shoulder, minimum of 2 views",nppes_provider_zip
99239,0.11778001528314862,46.80798364749277,"Hospital discharge day management, more than 30 minutes",nppes_provider_zip
72100,0.11813568926524291,58.388339439524124,"X-ray of lower and sacral spine, 2 or 3 views",nppes_provider_zip
36415,0.11838429463533512,191.70577895068544,Insertion of needle into vein for collection of blood sample,nppes_provider_zip
80053,0.11983305160498545,195.39044782319218,"Blood test, comprehensive group of blood chemicals",nppes_provider_zip
99217,0.1265350671537682,22.859469693789094,Hospital observation care discharge,nppes_provider_zip
90662,0.1296374181072192,38.021321805038646,Vaccine for influenza for injection into muscle,nppes_provider_zip
73560,0.13007470246705596,76.91166110470412,"X-ray of knee, 1 or 2 views",nppes_provider_zip
90732,0.13218476483663433,8.685140628830258,"Vaccine for pneumococcal polysaccharide for injection beneath the skin or into muscle, patient 2 years or older",nppes_provider_zip
99284,0.14132080119683643,27.89707420007593,"Emergency department visit, problem of high severity",nppes_provider_zip
73562,0.1479165853929978,91.18675142704001,"X-ray of knee, 3 views",nppes_provider_zip
85025,0.14804871676444079,177.82407414019627,"Complete blood cell count (red cells, white blood cell, platelets), automated test",nppes_provider_zip
96372,0.14812839027965624,113.7044105453513,"Injection beneath the skin or into muscle for therapy, diagnosis, or prevention",nppes_provider_zip
71010,0.15372763464003208,389.7263505446198,"X-ray of chest, 1 view, front",nppes_provider_zip
97530,0.15759190327796258,346.7206660116632,"Therapeutic activities to improve function, with one-on-one contact between patient and provider, each 15 minutes",nppes_provider_zip
93306,0.15783542765736588,137.05005668065974,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",nppes_provider_zip
71020,0.16404766953853434,137.66137294053812,"X-ray of chest, 2 views, front and side",nppes_provider_zip
